"","Rotación","Edad","Viaje de Negocios","Departamento","Distancia_Casa","Educación","Campo_Educación","Satisfacción_Ambiental","Genero","Cargo","Indicador de Satisfación_Laboral","Estado_Civil","Ingreso_Mensual","Numero de Trabajos_Anteriores","Horas_Extra","Porcentaje_aumento_salarial","Rendimiento_Laboral","Numero de Años_Experiencia","Numero de Capacitaciones","Equilibrio_Trabajo_Vida","Numero años en Antigüedad_Cargo","Numero de Años_ultima_promoción","Numero de Años_acargo_con_mismo_jefe"
"26","No",19345,"Raramente","IyD",5,3,"Otra",3,"F","Gerente",3,"Divorciado",19094,4,"No",11,3,26,3,2,13,4,8
"27","Si",11680,"Frecuentemente","IyD",16,1,"Ciencias",2,"F","Investigador_Cientifico",1,"Soltero",3919,1,"Si",22,4,10,5,3,2,6,7
"28","No",15330,"Raramente","Ventas",8,4,"Mercadeo",3,"M","Ejecutivo_Ventas",2,"Casado",6825,0,"No",11,3,10,2,3,7,4,2
"29","No",16060,"Raramente","IyD",7,4,"Salud",1,"F","Representante_Salud",4,"Casado",10248,3,"No",14,3,24,4,3,6,5,17
"30","No",16790,"Raramente","Ventas",2,4,"Mercadeo",2,"F","Gerente",1,"Soltero",18947,3,"No",12,3,22,2,2,2,2,1
"31","No",12045,"Raramente","IyD",2,3,"Salud",3,"M","Tecnico_Laboratorio",4,"Soltero",2496,4,"No",11,3,7,3,3,1,0,0
"32","No",16060,"Raramente","IyD",10,4,"Otra",4,"M","Representante_Salud",4,"Casado",6465,2,"Si",13,3,9,5,4,2,1,3
"33","No",10950,"Raramente","IyD",9,2,"Salud",4,"M","Tecnico_Laboratorio",3,"Soltero",2206,1,"No",13,3,10,5,3,0,1,8
"34","Si",14235,"Raramente","Ventas",5,3,"Tecnicos",4,"M","Representante_Ventas",4,"Casado",2086,3,"No",14,3,19,6,4,0,0,0
"35","Si",8760,"Raramente","IyD",1,3,"Salud",2,"M","Investigador_Cientifico",4,"Casado",2293,2,"Si",16,3,6,2,2,0,2,0
"36","No",15695,"Raramente","IyD",2,2,"Salud",4,"F","Investigador_Cientifico",3,"Divorciado",2645,1,"No",12,3,6,3,2,3,1,4
"37","Si",18250,"Raramente","Ventas",3,2,"Mercadeo",1,"M","Representante_Ventas",3,"Casado",2683,1,"Si",14,3,3,2,3,2,0,2
"38","No",12775,"Raramente","Ventas",2,3,"Mercadeo",4,"F","Representante_Ventas",4,"Casado",2014,1,"No",13,3,2,3,3,2,2,2
"39","No",13140,"Raramente","IyD",5,4,"Ciencias",2,"F","Investigador_Cientifico",1,"Casado",3419,9,"Si",14,3,6,3,4,1,0,0
"40","No",12045,"Frecuentemente","Ventas",1,3,"Ciencias",3,"F","Ejecutivo_Ventas",1,"Casado",5376,2,"No",19,3,10,3,3,3,1,3
"41","No",12775,"Raramente","IyD",4,2,"Otra",3,"M","Tecnico_Laboratorio",4,"Divorciado",1951,1,"No",12,3,1,3,3,0,0,0
"42","No",9855,"Raramente","IyD",2,4,"Ciencias",4,"F","Tecnico_Laboratorio",1,"Divorciado",2341,1,"No",13,3,1,6,3,0,0,0
"43","Si",9490,"Raramente","IyD",25,3,"Ciencias",1,"M","Tecnico_Laboratorio",3,"Soltero",2293,1,"No",12,3,1,2,2,0,0,1
"44","No",9855,"Frecuentemente","Ventas",8,3,"Ciencias",4,"M","Ejecutivo_Ventas",3,"Soltero",8726,1,"No",15,3,9,0,3,8,1,7
"45","No",10950,"Frecuentemente","IyD",1,2,"Salud",3,"F","Tecnico_Laboratorio",4,"Soltero",4011,1,"No",23,4,12,2,3,8,3,7
"46","Si",14965,"Raramente","IyD",12,3,"Tecnicos",2,"F","Director_Investigación",3,"Casado",19545,1,"No",12,3,23,0,3,15,15,8
"47","No",12410,"No_Viaja","Ventas",23,4,"Mercadeo",2,"M","Ejecutivo_Ventas",3,"Soltero",4568,0,"No",20,4,10,2,3,5,8,7
"48","No",13505,"Raramente","IyD",19,2,"Ciencias",2,"M","Investigador_Cientifico",2,"Casado",3022,4,"No",21,4,8,1,3,0,0,0
"49","No",16790,"Frecuentemente","Ventas",5,4,"Mercadeo",1,"M","Ejecutivo_Ventas",4,"Soltero",5772,4,"Si",21,4,14,4,3,6,0,8
"50","No",12775,"Raramente","IyD",8,1,"Ciencias",4,"M","Tecnico_Laboratorio",4,"Casado",2269,1,"No",19,3,1,2,3,0,0,1
"51","Si",17520,"Raramente","IyD",1,2,"Ciencias",1,"M","Tecnico_Laboratorio",3,"Soltero",5381,9,"Si",13,3,23,2,3,0,0,0
"52","Si",10220,"Raramente","IyD",5,4,"Tecnicos",3,"M","Tecnico_Laboratorio",3,"Soltero",3441,1,"Si",13,3,2,3,2,2,2,2
"53","No",16060,"Raramente","Ventas",1,5,"Mercadeo",2,"F","Ejecutivo_Ventas",1,"Divorciado",5454,5,"Si",21,4,9,2,2,3,1,3
"54","No",12775,"No_Viaja","IyD",11,2,"Salud",3,"M","Representante_Salud",1,"Casado",9884,2,"Si",13,3,10,3,3,0,2,3
"55","No",9490,"Raramente","Ventas",23,3,"Mercadeo",3,"F","Ejecutivo_Ventas",4,"Casado",4157,7,"Si",19,3,5,2,2,2,0,0
"56","No",12045,"Frecuentemente","IyD",1,2,"Ciencias",1,"F","Director_Investigación",4,"Soltero",13458,1,"Si",12,3,15,1,3,14,8,12
"57","No",12775,"Frecuentemente","Ventas",18,5,"Ciencias",2,"M","Ejecutivo_Ventas",1,"Casado",9069,1,"No",22,4,9,3,2,8,1,8
"58","No",12775,"Raramente","IyD",23,4,"Salud",3,"F","Tecnico_Laboratorio",1,"Casado",4014,3,"Si",15,3,4,3,3,2,2,2
"59","No",11315,"Raramente","IyD",7,4,"Ciencias",4,"M","Tecnico_Laboratorio",4,"Divorciado",5915,3,"No",22,4,10,3,2,7,1,7
"60","No",13505,"Raramente","IyD",1,4,"Ciencias",1,"M","Director_Manofactura",3,"Divorciado",5993,1,"No",18,3,7,2,4,5,0,7
"61","No",11680,"Raramente","IyD",1,3,"Salud",1,"M","Director_Manofactura",4,"Casado",6162,1,"Si",22,4,9,3,3,8,7,8
"62","No",13870,"Frecuentemente","IyD",29,5,"Ciencias",4,"F","Tecnico_Laboratorio",4,"Soltero",2406,1,"No",11,3,10,2,3,3,9,9
"63","No",18250,"Raramente","IyD",7,2,"Salud",2,"F","Director_Investigación",3,"Divorciado",18740,5,"Si",12,3,29,2,2,3,13,8
"64","No",21535,"Raramente","Ventas",25,3,"Ciencias",1,"F","Ejecutivo_Ventas",1,"Soltero",7637,7,"No",11,3,28,3,2,16,7,9
"65","No",13140,"Raramente","IyD",8,3,"Tecnicos",3,"F","Representante_Salud",3,"Divorciado",10096,1,"No",13,3,17,2,3,14,12,8
"66","No",20075,"Raramente","IyD",8,3,"Salud",4,"F","Gerente",3,"Divorciado",14756,2,"Si",14,3,21,2,3,0,0,2
"67","No",13140,"Frecuentemente","IyD",11,3,"Ciencias",2,"M","Director_Manofactura",2,"Soltero",6499,1,"No",13,3,6,3,3,5,0,3
"68","No",16425,"Raramente","IyD",7,3,"Ciencias",2,"M","Investigador_Cientifico",1,"Divorciado",9724,2,"No",17,3,25,2,3,0,0,0
"69","No",12775,"Frecuentemente","IyD",1,3,"Salud",2,"M","Investigador_Cientifico",1,"Casado",2194,4,"No",13,3,5,2,2,2,1,2
"70","Si",13140,"Raramente","IyD",9,3,"Salud",4,"M","Investigador_Cientifico",3,"Casado",3388,0,"Si",17,3,2,0,2,0,0,0
"71","No",21535,"Frecuentemente","Ventas",1,1,"Ciencias",1,"F","Ejecutivo_Ventas",3,"Soltero",5473,7,"No",11,3,20,2,2,3,1,3
"72","No",10585,"Raramente","IyD",2,3,"Ciencias",3,"M","Investigador_Cientifico",2,"Casado",2703,0,"No",23,4,6,3,3,4,0,4
"73","No",11315,"Raramente","IyD",1,4,"Salud",3,"M","Investigador_Cientifico",2,"Soltero",2501,1,"No",17,3,1,4,3,1,1,0
"74","No",11680,"Raramente","IyD",1,3,"Ciencias",2,"M","Investigador_Cientifico",2,"Casado",6220,1,"No",17,3,10,3,3,4,0,9
"75","No",13140,"Raramente","IyD",6,3,"Ciencias",2,"F","Tecnico_Laboratorio",4,"Casado",3038,3,"No",12,3,5,3,3,0,0,0
"76","No",11315,"Raramente","IyD",8,4,"Ciencias",3,"F","Director_Manofactura",4,"Soltero",4424,1,"No",23,4,11,2,3,7,1,8
"77","No",12775,"Raramente","Ventas",1,4,"Mercadeo",3,"M","Ejecutivo_Ventas",1,"Soltero",4312,0,"No",14,3,16,2,3,13,2,8
"78","No",16425,"Raramente","IyD",6,4,"Otra",4,"M","Director_Investigación",1,"Casado",13245,4,"Si",14,3,17,3,4,0,0,0
"79","No",13505,"Raramente","IyD",7,4,"Salud",1,"M","Director_Investigación",3,"Soltero",13664,4,"No",13,3,16,3,4,2,0,2
"80","No",16790,"Raramente","RH",5,2,"Salud",2,"M","Recursos_Humanos",2,"Divorciado",5021,8,"Si",22,4,16,2,3,2,0,2
"81","No",10950,"Raramente","IyD",1,1,"Ciencias",4,"M","Tecnico_Laboratorio",4,"Casado",5126,1,"Si",12,3,10,1,2,8,3,0
"82","No",12775,"Raramente","IyD",1,3,"Salud",2,"M","Investigador_Cientifico",3,"Soltero",2859,1,"No",18,3,6,3,3,4,0,4
"83","No",20075,"Raramente","Ventas",1,2,"Ciencias",1,"M","Ejecutivo_Ventas",4,"Casado",10239,3,"No",14,3,24,4,3,0,1,0
"84","No",13870,"No_Viaja","IyD",6,3,"Salud",2,"F","Investigador_Cientifico",4,"Divorciado",5329,7,"Si",12,3,17,3,3,11,1,9
"85","No",12410,"Raramente","IyD",1,2,"Salud",1,"M","Director_Manofactura",2,"Casado",4325,1,"No",15,3,5,2,3,2,1,3
"86","No",20440,"Raramente","IyD",7,3,"Ciencias",4,"M","Director_Manofactura",4,"Soltero",7260,4,"No",11,3,37,3,2,4,0,2
"87","No",8395,"Raramente","Ventas",2,1,"Tecnicos",3,"M","Representante_Ventas",1,"Divorciado",2322,3,"No",13,3,3,3,3,0,0,0
"88","No",18615,"Raramente","IyD",9,4,"Ciencias",4,"M","Tecnico_Laboratorio",4,"Casado",2075,3,"No",23,4,10,4,3,2,0,3
"89","No",10950,"Raramente","IyD",2,3,"Ciencias",3,"M","Representante_Salud",4,"Casado",4152,1,"No",19,3,11,3,3,10,10,8
"90","Si",16790,"Raramente","Ventas",9,2,"Salud",3,"M","Ejecutivo_Ventas",4,"Soltero",9619,1,"No",16,3,9,3,3,8,4,7
"91","No",14600,"Frecuentemente","IyD",1,4,"Ciencias",3,"M","Representante_Salud",2,"Casado",13503,1,"No",22,4,22,3,2,3,11,11
"92","No",18615,"Raramente","Ventas",21,4,"Mercadeo",3,"M","Ejecutivo_Ventas",4,"Soltero",5441,0,"Si",22,4,11,2,1,7,1,0
"93","No",10950,"Raramente","Ventas",4,2,"Salud",3,"F","Ejecutivo_Ventas",2,"Divorciado",5209,1,"Si",12,3,11,4,2,8,2,7
"94","No",16790,"Frecuentemente","IyD",1,3,"Salud",3,"M","Representante_Salud",1,"Casado",10673,2,"Si",13,3,21,5,2,9,9,5
"95","No",11680,"Raramente","Ventas",6,4,"Salud",2,"M","Ejecutivo_Ventas",3,"Soltero",5010,1,"No",16,3,12,0,3,8,5,7
"96","No",19710,"Raramente","IyD",2,4,"Tecnicos",1,"F","Director_Investigación",3,"Casado",13549,9,"No",12,3,16,5,1,3,0,3
"97","No",8760,"Raramente","Ventas",3,2,"Otra",1,"F","Ejecutivo_Ventas",3,"Casado",4999,0,"No",21,4,4,2,2,2,0,2
"98","No",10220,"No_Viaja","Ventas",4,3,"Salud",2,"M","Ejecutivo_Ventas",3,"Casado",4221,1,"No",15,3,5,3,4,4,0,4
"99","No",21170,"Raramente","Ventas",10,4,"Salud",4,"M","Ejecutivo_Ventas",3,"Soltero",13872,0,"No",13,3,38,1,2,10,1,8
"100","No",16060,"No_Viaja","IyD",23,3,"Salud",2,"M","Tecnico_Laboratorio",2,"Casado",2042,4,"No",12,3,17,3,4,2,1,2
"101","Si",13505,"Raramente","RH",6,4,"Humanidades",3,"M","Recursos_Humanos",1,"Divorciado",2073,4,"Si",22,4,7,3,3,2,0,2
"102","No",11680,"Raramente","IyD",1,1,"Ciencias",4,"M","Investigador_Cientifico",1,"Soltero",2956,1,"No",13,3,1,2,3,0,0,0
"103","Si",7300,"Frecuentemente","IyD",6,3,"Ciencias",4,"F","Tecnico_Laboratorio",4,"Soltero",2926,1,"Si",18,3,1,5,3,0,1,0
"104","No",12410,"Raramente","IyD",6,4,"Otra",1,"F","Investigador_Cientifico",3,"Soltero",4809,1,"No",14,3,16,3,3,13,2,10
"105","No",13505,"No_Viaja","IyD",2,2,"Ciencias",3,"M","Representante_Salud",4,"Divorciado",5163,5,"No",14,3,17,2,4,0,0,0
"106","No",21535,"No_Viaja","RH",2,4,"Humanidades",3,"F","Gerente",4,"Casado",18844,9,"No",21,4,30,3,3,2,2,2
"107","No",18250,"Frecuentemente","IyD",1,3,"Ciencias",1,"F","Director_Investigación",2,"Casado",18172,3,"Si",19,3,28,1,2,3,0,7
"108","Si",9125,"Raramente","Ventas",5,3,"Mercadeo",3,"M","Ejecutivo_Ventas",3,"Soltero",5744,1,"Si",11,3,6,1,3,4,0,3
"109","No",9125,"Raramente","IyD",7,1,"Salud",4,"M","Investigador_Cientifico",4,"Casado",2889,1,"No",11,3,2,2,3,2,2,1
"110","No",8030,"Raramente","IyD",15,3,"Salud",2,"F","Tecnico_Laboratorio",4,"Soltero",2871,1,"No",15,3,1,5,3,0,0,0
"111","No",18615,"Frecuentemente","IyD",1,4,"Salud",1,"F","Representante_Salud",1,"Soltero",7484,3,"No",20,4,23,1,2,12,12,8
"112","Si",12410,"Frecuentemente","IyD",7,3,"Ciencias",1,"M","Tecnico_Laboratorio",3,"Soltero",6074,1,"Si",24,4,9,3,3,7,0,6
"113","No",19710,"No_Viaja","RH",26,3,"Humanidades",4,"F","Gerente",4,"Soltero",17328,2,"Si",12,3,23,3,3,3,4,4
"114","No",8760,"Raramente","IyD",18,1,"Ciencias",2,"M","Tecnico_Laboratorio",3,"Casado",2774,0,"No",12,3,6,2,3,3,1,2
"115","No",12410,"Raramente","IyD",6,4,"Ciencias",3,"F","Investigador_Cientifico",2,"Divorciado",4505,6,"No",15,3,12,3,3,0,0,0
"116","No",13505,"Raramente","Ventas",3,3,"Ciencias",3,"M","Ejecutivo_Ventas",4,"Soltero",7428,2,"No",12,3,12,3,3,3,1,3
"117","No",12410,"Raramente","IyD",5,3,"Salud",3,"F","Gerente",1,"Soltero",11631,2,"No",12,3,14,6,3,10,5,8
"118","No",13140,"Frecuentemente","Ventas",11,2,"Tecnicos",2,"F","Ejecutivo_Ventas",4,"Casado",9738,0,"No",14,3,10,6,3,7,2,8
"119","No",13140,"Raramente","IyD",3,2,"Ciencias",1,"F","Tecnico_Laboratorio",4,"Divorciado",2835,5,"No",22,4,7,2,3,0,0,0
"120","No",15695,"Frecuentemente","Ventas",26,2,"Ciencias",3,"M","Gerente",4,"Casado",16959,1,"Si",12,3,25,3,4,12,4,12
"121","No",10950,"Frecuentemente","IyD",23,3,"Ciencias",1,"M","Investigador_Cientifico",3,"Divorciado",2613,1,"No",25,4,10,2,2,7,0,9
"122","No",12045,"No_Viaja","Ventas",22,2,"Mercadeo",3,"M","Ejecutivo_Ventas",2,"Casado",6146,0,"No",13,3,8,2,4,7,0,7
"123","Si",20440,"Raramente","IyD",14,4,"Ciencias",2,"F","Investigador_Cientifico",2,"Casado",4963,9,"Si",18,3,7,2,3,4,4,3
"124","No",18615,"Raramente","IyD",6,3,"Ciencias",1,"M","Director_Investigación",3,"Soltero",19537,7,"No",13,3,23,5,3,18,15,15
"125","Si",11315,"Raramente","Ventas",6,4,"Ciencias",2,"M","Ejecutivo_Ventas",3,"Casado",6172,4,"Si",18,3,12,3,2,7,7,7
"126","No",9490,"Raramente","IyD",6,3,"Otra",3,"F","Investigador_Cientifico",2,"Casado",2368,1,"No",19,3,5,3,2,4,4,3
"127","Si",21170,"Raramente","IyD",23,4,"Salud",4,"F","Representante_Salud",4,"Casado",10312,1,"No",12,3,40,3,2,10,15,6
"128","Si",6935,"Raramente","Ventas",22,1,"Mercadeo",4,"M","Representante_Ventas",3,"Soltero",1675,1,"Si",19,3,0,2,2,0,0,0
"129","No",8030,"Raramente","IyD",2,1,"Tecnicos",3,"M","Tecnico_Laboratorio",4,"Casado",2523,0,"No",14,3,3,2,3,1,2,1
"130","No",17885,"Raramente","IyD",20,4,"Salud",3,"F","Director_Manofactura",1,"Casado",6567,1,"No",14,3,16,2,2,11,5,11
"131","No",15695,"Frecuentemente","IyD",28,3,"Salud",2,"F","Investigador_Cientifico",3,"Soltero",4739,4,"No",12,3,18,2,3,2,1,2
"132","No",18250,"Frecuentemente","Ventas",12,3,"Mercadeo",3,"F","Ejecutivo_Ventas",4,"Soltero",9208,4,"No",11,3,16,3,3,2,2,1
"133","Si",11315,"Raramente","Ventas",20,3,"Ciencias",2,"F","Ejecutivo_Ventas",3,"Casado",4559,3,"Si",11,3,4,2,3,2,2,2
"134","No",14965,"Raramente","Ventas",9,1,"Ciencias",3,"M","Ejecutivo_Ventas",3,"Divorciado",8189,3,"Si",13,3,12,2,3,7,0,7
"135","No",9490,"Raramente","RH",25,1,"Ciencias",3,"F","Recursos_Humanos",3,"Casado",2942,1,"No",23,4,8,3,3,7,5,7
"136","No",13140,"Raramente","IyD",6,2,"Salud",2,"M","Director_Manofactura",2,"Divorciado",4941,6,"No",20,4,7,0,3,2,0,1
"137","Si",18615,"Frecuentemente","IyD",8,4,"Ciencias",1,"M","Director_Manofactura",4,"Soltero",10650,2,"No",15,3,18,2,3,2,0,3
"138","No",14235,"Raramente","Ventas",4,4,"Ciencias",4,"F","Ejecutivo_Ventas",3,"Casado",5902,4,"No",14,3,17,1,4,11,5,9
"139","No",9125,"Raramente","Ventas",28,3,"Ciencias",1,"M","Ejecutivo_Ventas",3,"Casado",8639,2,"No",18,3,6,3,3,2,2,2
"140","No",10950,"Raramente","RH",9,3,"Humanidades",3,"M","Recursos_Humanos",4,"Casado",6347,0,"Si",19,3,12,2,1,9,4,7
"141","Si",11680,"Raramente","IyD",9,3,"Salud",1,"F","Tecnico_Laboratorio",1,"Soltero",4200,7,"No",22,4,10,2,4,4,0,4
"142","No",16425,"Raramente","IyD",29,3,"Salud",3,"M","Investigador_Cientifico",4,"Soltero",3452,5,"No",13,3,9,2,2,5,0,3
"143","No",13870,"Raramente","IyD",3,5,"Tecnicos",4,"F","Investigador_Cientifico",3,"Soltero",4317,3,"Si",20,4,19,2,3,2,2,2
"144","No",10950,"Raramente","IyD",18,3,"Ciencias",1,"F","Investigador_Cientifico",3,"Soltero",2632,1,"No",14,3,5,4,2,4,0,4
"145","No",11680,"Frecuentemente","Ventas",9,2,"Salud",4,"M","Ejecutivo_Ventas",4,"Divorciado",4668,0,"No",17,3,9,2,4,7,0,7
"146","No",10950,"Raramente","IyD",5,3,"Tecnicos",4,"F","Investigador_Cientifico",1,"Divorciado",3204,5,"No",14,3,8,3,3,2,2,2
"147","No",10950,"Raramente","IyD",2,1,"Salud",2,"M","Tecnico_Laboratorio",4,"Soltero",2720,0,"No",13,3,6,3,3,3,1,2
"148","No",14965,"Frecuentemente","IyD",10,3,"Ciencias",4,"M","Gerente",1,"Divorciado",17181,4,"No",13,3,21,2,2,6,7,7
"149","No",14965,"Raramente","IyD",9,4,"Ciencias",3,"M","Tecnico_Laboratorio",1,"Casado",2238,2,"No",21,4,7,2,3,0,1,4
"150","No",6935,"Raramente","IyD",3,1,"Salud",2,"F","Tecnico_Laboratorio",2,"Soltero",1483,1,"No",14,3,1,3,3,0,0,0
"151","No",14600,"Frecuentemente","IyD",26,3,"Salud",2,"F","Investigador_Cientifico",2,"Divorciado",5605,1,"No",11,3,20,2,3,7,2,13
"152","No",12775,"Raramente","Ventas",1,5,"Mercadeo",3,"M","Ejecutivo_Ventas",2,"Casado",7295,1,"No",13,3,10,3,3,8,0,6
"153","No",19345,"Raramente","Ventas",6,2,"Mercadeo",2,"M","Representante_Ventas",3,"Casado",2306,2,"Si",20,4,13,3,1,7,4,5
"154","No",16425,"Raramente","IyD",9,3,"Ciencias",2,"M","Tecnico_Laboratorio",2,"Divorciado",2348,8,"No",18,3,20,2,1,9,0,15
"155","No",11680,"Frecuentemente","Ventas",8,3,"Mercadeo",2,"F","Ejecutivo_Ventas",4,"Soltero",8998,1,"No",14,3,9,2,3,8,3,7
"156","No",10585,"No_Viaja","IyD",1,1,"Tecnicos",4,"M","Director_Manofactura",3,"Casado",4319,1,"No",13,3,10,1,3,7,0,9
"157","No",18615,"Raramente","IyD",7,4,"Salud",2,"M","Director_Manofactura",3,"Casado",6132,2,"No",17,3,10,2,3,0,0,0
"158","No",21170,"Raramente","IyD",9,3,"Salud",2,"F","Investigador_Cientifico",2,"Casado",3346,4,"Si",20,4,9,3,2,0,0,0
"159","No",14600,"Raramente","Ventas",4,4,"Mercadeo",3,"M","Ejecutivo_Ventas",4,"Casado",10855,7,"No",11,3,15,2,2,11,2,11
"160","No",12410,"Frecuentemente","Ventas",2,4,"Mercadeo",3,"F","Representante_Ventas",3,"Casado",2231,6,"No",18,3,6,3,3,3,1,2
"161","No",8030,"Raramente","IyD",19,1,"Salud",3,"M","Investigador_Cientifico",4,"Casado",2323,1,"No",24,4,2,6,3,2,2,2
"162","No",9855,"No_Viaja","IyD",9,3,"Salud",4,"M","Investigador_Cientifico",2,"Divorciado",2024,6,"No",18,3,6,1,1,2,2,2
"163","No",10220,"Raramente","IyD",21,3,"Salud",3,"M","Investigador_Cientifico",4,"Casado",2713,1,"No",11,3,5,2,1,2,0,2
"164","No",20805,"Raramente","IyD",24,2,"Ciencias",3,"M","Representante_Salud",4,"Divorciado",9439,3,"Si",16,3,12,2,1,3,1,4
"165","No",9855,"No_Viaja","IyD",3,3,"Salud",3,"M","Investigador_Cientifico",3,"Divorciado",2566,1,"Si",15,3,1,2,2,1,0,1
"166","No",18250,"Raramente","IyD",11,3,"Ciencias",3,"F","Gerente",2,"Soltero",19926,3,"No",15,3,21,5,3,4,4,4
"167","No",14965,"Raramente","IyD",14,3,"Ciencias",1,"M","Investigador_Cientifico",3,"Divorciado",2451,4,"No",12,3,13,2,3,8,1,8
"168","No",10950,"Raramente","Ventas",5,3,"Ciencias",2,"F","Ejecutivo_Ventas",4,"Casado",9419,2,"No",12,3,12,2,3,9,7,4
"169","No",13870,"Raramente","Ventas",1,4,"Ciencias",1,"F","Ejecutivo_Ventas",4,"Soltero",8686,4,"No",22,4,12,2,4,3,0,7
"170","No",11680,"Raramente","IyD",6,5,"Ciencias",3,"M","Investigador_Cientifico",3,"Soltero",3038,3,"No",20,4,8,2,3,4,1,4
"171","No",9855,"Raramente","IyD",17,3,"Tecnicos",3,"M","Investigador_Cientifico",2,"Casado",3058,0,"Si",16,3,6,3,2,2,1,1
"172","Si",6935,"Frecuentemente","Ventas",1,1,"Tecnicos",3,"F","Representante_Ventas",1,"Soltero",2325,0,"No",21,4,1,5,4,0,0,0
"173","No",13140,"Frecuentemente","IyD",3,2,"Salud",4,"M","Tecnico_Laboratorio",2,"Soltero",2088,4,"No",12,3,13,3,2,7,7,2
